,nazwa,adres,telefon,geo,geo_lat,geo_lon
13,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO,WINCENTEGO PSTROWSKIEGO 28B 10-602 OLSZTYN,89 512 15 56,"('53.761684', '20.5063354')",53.761684,20.5063354
14,WARMIŃSKO MAZURSKA STACJA TRANSPORTU MEDYCZNEGO LESZEK GOŁĘBIOWSKI,POLNA 15 10-059 OLSZTYN,89 512 15 56,"('53.76703195', '20.4719041433505')",53.76703195,20.4719041433505
15,"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""ELMEDCAR"" MARCIN MALUDZIŃSKI",JANA AMOSA KOMEŃSKIEGO 35 82-300 ELBLĄG,89 512 15 56,"('54.1555301', '19.4263318171208')",54.1555301,19.4263318171208
16,SZPITAL POWIATOWY IM. JANA PAWŁA II W BARTOSZYCACH,KARDYNAŁA WYSZYŃSKIEGO 11 11-200 BARTOSZYCE,89 512 15 56,"('54.25857', '20.792136')",54.25857,20.792136
17,SZPITAL POWIATOWY IM. JANA PAWŁA II W BARTOSZYCACH,KARDYNAŁA WYSZYŃSKIEGO 11 11-200 BARTOSZYCE,89 512 15 56,"('54.25857', '20.792136')",54.25857,20.792136
18,WOJEWÓDZKI SZPITAL ZESPOLONY W KIELCACH,"KIELCE, 25-736, UL. GRUNWALDZKA 45",41-367-13-01,"('50.8733192', '20.6009163600855')",50.8733192,20.6009163600855
19,POWIATOWY ZAKŁAD OPIEKI ZDROWOTNEJ W STARACHOWICACH,"STARACHOWICE, 27-200, RADOMSKA 70",41-273-91-13,"('51.0641001', '21.0723778')",51.0641001,21.0723778
20,ZESPÓŁ OPIEKI ZDROWOTNEJ W BUSKU-ZDROJU,"BUSKO-ZDRÓJ, 28-100, UL BOHATERÓW WARSZAWY 67",41-378-24-04 wewn. 337,"('50.4680352', '20.7046523104')",50.4680352,20.7046523104
21,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W KIELCACH,"KIELCE, 25-375, WOJSKA POLSKIEGO 51",41-349-35-00,"('50.8601939', '20.6359118583726')",50.8601939,20.6359118583726
22,SZPITAL OGÓLNY IM. DR WITOLDA GINELA W GRAJEWIE,"GRAJEWO 19-200, KONSTYTUCJI 3 MAJA 34",86 272 232 71,"('53.64611755', '22.4699462806249')",53.64611755,22.4699462806249
23,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W AUGUSTOWIE,"AUGUSTÓW, 16-300, SZPITALNA 12",87 644 42 84,"('53.8480175', '22.9887483')",53.8480175,22.9887483
24,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HAJNÓWCE,"HAJNÓWKA, 17-200 DOC. ADAMA DOWGIRDA, 9",85 682 92 02,"('52.741585', '23.586658')",52.741585,23.586658
25,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIELSKU PODLASKIM,"BIELSK PODLASKI, 17-100, KLESZCZELOWSKA 1",85 833 43 30,"('52.7594504', '23.2033754496675')",52.7594504,23.2033754496675
26,SZPITAL WOJEWÓDZKI IM. DR. LUDWIKA RYDYGIERA W SUWAŁKACH,"SUWAŁKI, 16-400, SZPITALNA, 60",87 562 94 21,"('54.1190623', '22.9262896196223')",54.1190623,22.9262896196223
27,SZPITAL WOJEWÓDZKI IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO,"ŁOMŻA, 18-404, AL. MARSZ. JÓZEFA PIŁSUDSKIEGO 11",86 473 36 24,"('53.171407', '22.069765')",53.171407,22.069765
28,UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU,"BIAŁYSTOK, 15-276, MARII SKŁODOWSKIEJ –CURIE 24A",85 831 83 35,"('53.12431805', '23.1593670927327')",53.12431805,23.1593670927327
29,UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFA W BIAŁYMSTOKU,"BIAŁYSTOK 15-274, JERZEGO WASZYNGTONA, 17",85 745 05 00,"('53.12359085', '23.1559140577611')",53.12359085,23.1559140577611
30,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO SP ZOZ W SUWAŁKACH,"UL. MICKIEWICZA 11, 16-400 SUWAŁKI",87 566 22 68,"('54.063077', '22.964111')",54.063077,22.964111
31,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W  ŁOMŻY,"UL. SZOSA ZAMBROWSKA 1/19, 18-400 ŁOMŻA",86 216 62 15,"('53.1737366', '22.0798936')",53.1737366,22.0798936
32,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO W BIAŁYMSTOKU,"UL. POLESKA 89, 15-874 BIAŁYSTOK",85 66 37 301,"('53.13769', '23.144253')",53.13769,23.144253
33,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CZŁUCHOWIE,CZŁUCHÓW / 77-300 / UL. SZCZECIŃSKA 16,59 834 24 59,"('53.6609588', '17.3536314')",53.6609588,17.3536314
34,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA KORCZAKA W SŁUPSKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SŁUPSK / 76-200 / UL. HUBALCZYKÓW 1,59 846 06 00,"('54.4516851', '17.0637619')",54.4516851,17.0637619
35,SZPITAL SPECJALISTYCZNY IM. J. K. ŁUKOWICZA W CHOJNICACH,CHOJNICE / 89-600 / UL. LEŚNA 10,52 395 67 69,"('53.7124365', '17.5483145')",53.7124365,17.5483145
36,SAMODZIELNY PUBLICZNY SPECJALISTYCZNY ZAKŁAD OPIEKI ZDROWOTNEJ,LĘBORK / 84-300 / UL. JULIANA WĘGRZYNOWICZA 13,59 863 53 25 / 59 863 53 14,a,a,a
37,SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GDYNIA / 81-519 / UL. POWSTANIA STYCZNIOWEGO 1,58 726 01 19 / 224 800 800,"('54.48836275', '18.5526296644194')",54.48836275,18.5526296644194
38,POMORSKIE CENTRUM CHORÓB ZAKAŹNYCH I GRUŹLICY,GDAŃSK / 80-214 / UL. MARIANA SMOLUCHOWSKIEGO 18,58 726 01 19 / 224 800 800,"('54.36443195', '18.617761932095')",54.36443195,18.617761932095
39,7 SZPITAL MARYNARKI WOJENNEJ Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ IMIENIA KONTRADMIRAŁA PROFESORA WIESŁAWA ŁASIŃSKIEGO W GDAŃSKU,GDAŃSK / 80-305 / UL. POLANKI 117,58 552 63 26,"('54.3933341', '18.5662528422412')",54.3933341,18.5662528422412
40,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W GDAŃSKU,GDAŃSK / 80-104 / UL. KARTUSKA 4/6,58 309 82 00 / 58 303 12 64,"('54.3507893', '18.6353301')",54.3507893,18.6353301
41,UNIWERSYTECKIE CENTRUM MEDYCYNY MORSKIEJ I TROPIKALNEJ,GDYNIA / 81-519 / UL. POWSTANIA STYCZNIOWEGO 9B,58 699 85 06,"('54.4874074', '18.5488374')",54.4874074,18.5488374
42,SZPITALE TCZEWSKIE SPÓŁKA AKCYJNA,TCZEW / 83-110 / UL. 30-GO STYCZNIA 57/28,58 777 66 73,a,a,a
43,POMORSKIE CENTRUM TOKSYKOLOGII SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GDAŃSK / 80-104 / UL. KARTUSKA 4/6,58 682 04 04 / 58 682 19 39,"('54.3507893', '18.6353301')",54.3507893,18.6353301
44,SZPITAL DZIECIĘCY POLANKI IM. MACIEJA PŁAŻYŃSKIEGO W GDAŃSKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GDAŃSK / 80-308 / UL. POLANKI 119,58 520 93 00,"('54.39553395', '18.5610613991729')",54.39553395,18.5610613991729
45,SZPITAL SPECJALISTYCZNY W PRABUTACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PRABUTY / 82-550 / UL. KURACYJNA 30,55 262 43 28,"('53.7380131', '19.2078884726554')",53.7380131,19.2078884726554
46,SZPITAL SPECJALISTYCZNY W PRABUTACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PRABUTY / 82-550 / UL. KURACYJNA 30,,"('53.7380131', '19.2078884726554')",53.7380131,19.2078884726554
47,SZPITAL PUCKI SP. Z O.O.,PUCK / 84-100 / UL. 1-GO MAJA 13A,58 380 02 91 / 58 380 16 61,a,a,a
48,SZPITAL SPECJALISTYCZNY W KOŚCIERZYNIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KOŚCIERZYNA / 83-400 / UL. ALOJZEGO PIECHOWSKIEGO 36,58 686 01 11,"('54.1212073', '17.949461275287')",54.1212073,17.949461275287
49,SZPITAL MIEJSKI W MIASTKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MIASTKO / 77-200 / UL. GEN. J. WYBICKIEGO 30,59 857 09 00 / 59 857 09 16 / 59 857 09 17 / 59 857 09 34 / 59 857 09 02,a,a,a
50,FALCK MEDYCYNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WARSZAWA / 01-102 / UL.  JANA OLBRACHTA 94,"22 535 91 00, 22 535 91 01","('52.2345364', '20.9288174841809')",52.2345364,20.9288174841809
51,FALCK MEDYCYNA REGION POMORSKI,TCZEW / 83-110/ UL. 1 MAJA 20,"22 535 91 00, 22 535 91 01","('54.0927249', '18.7977563')",54.0927249,18.7977563
52,WOJEWÓDZKI SPECJALISTYCZNY SZPITAL IM. DR WŁ. BIEGAŃSKIEGO,ŁÓDŹ 91-347 UL. GEN. KAROLA KNIAZIEWICZA 1/5,42 251 60 59,"('51.760932', '19.460718')",51.760932,19.460718
53,SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE,BEŁCHATÓW 97-400  UL. CZAPLINIECKA 123,44 635 82 00,"('51.37577335', '19.3504204830224')",51.37577335,19.3504204830224
54,SZPITAL POWIATOWY W RADOMSKU,RADOMSKO 97-500 UL. JAGIELLOŃSKA 36,44 685 47 16,"('51.0568465', '19.4592206288969')",51.0568465,19.4592206288969
55,TOMASZOWSKIE CENTRUM ZDROWIA SPÓŁKA Z O.O,TOMASZÓW MAZOWIECKI 97-200 UL. JANA PAWŁA II 35,44 725 71 34,"('51.5225067', '20.005331')",51.5225067,20.005331
56,WOJEWÓDZKI ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ CENTRUM LECZENIA CHORÓB PŁUC I REHABILITACJI W ŁODZI,ŁÓDŹ 91-520 UL.OKÓLNA 181,42 659 00 11,"('51.848275', '19.480145')",51.848275,19.480145
57,SZPITAL WOJEWÓDZKI IM. PRYMASA KARDYNAŁA STEFANA WYSZYŃSKIEGO W SIERADZU,SIERADZ 98-200 UL. ARMII KRAJOWEJ 7,43 827 54 26,"('51.5820613', '18.7104555')",51.5820613,18.7104555
58,WOJEWÓDZKI SZPITAL ZESPOLONY IM. STANISŁAWA RYBICKIEGO W SKIERNIEWICACH,SKIERNIEWICE 96-100 UL. DR. STANISŁAWA RYBICKIEGO 1,46 834 07 50,"('51.964806', '20.153644')",51.964806,20.153644
59,"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",KUTNO 99-300 UL. KOŚCIUSZKI 52,24 388 02 02,"('52.23900645', '19.3717782587223')",52.23900645,19.3717782587223
60,WOJEWÓDZKA STACJA RATOWNICTWA MEDYCZNEGO W ŁODZI,ŁÓDŹ 91-202 UL. WARECKA 2,42 636 15 65,"('51.7970845', '19.4013861')",51.7970845,19.4013861
61,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ - CURIE W ZGIERZU,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,42 716 37 12,"('51.862656', '19.3914339')",51.862656,19.3914339
62,MEGREZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,TYCHY 43-100 EDUKACJI 102,32 325 51 48,"('50.11318685', '19.0084217798623')",50.11318685,19.0084217798623
63,SZPITAL POWIATOWY W ZAWIERCIU,ZAWIERCIE 42-400 MIODOWA 14,32 674 02 00,"('50.48177495', '19.4088093146077')",50.48177495,19.4088093146077
64,SZPITAL REJONOWY IM. DR. JÓZEFA ROSTKA W RACIBORZU,RACIBÓRZ 47-400 GAMOWSKA 3,32 755 50 00,"('50.1016677', '18.2023529')",50.1016677,18.2023529
65,SCANMED,KRAKÓW 30-150 ARMII KRAJOWEJ 18,32 755 50 00,"('50.07179465', '19.8959748309906')",50.07179465,19.8959748309906
66,SZPITAL SPECJALISTYCZNY NR 1 W BYTOMIU,BYTOM 41-902 STEFANA ŻEROMSKIEGO 7,32 396 32 00,"('50.35253005', '18.9223490382014')",50.35253005,18.9223490382014
67,SZPITAL SPECJALISTYCZNY W CHORZOWIE,CHORZÓW 41-500 ZJEDNOCZENIA 10,32 346 36 15,"('50.292197', '18.9531059408123')",50.292197,18.9531059408123
68,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. N.M.P.,CZĘSTOCHOWA 42-200 BIALSKA 104/118,34 367 30 00,"('50.83005025', '19.0920863648342')",50.83005025,19.0920863648342
69,ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W CIESZYNIE,CIESZYN 43-400 BIELSKA 4,33 854 92 00,"('49.7462769', '18.6389878')",49.7462769,18.6389878
70,SP ZOZ REJONOWE POGOTOWIE RATUNKOWE W,SOSNOWIEC 41-200 UL. TEATRALNA 9,32 363 60 32,"('50.27057155', '19.1252062486767')",50.27057155,19.1252062486767
71,BIELSKIE POGOTOWIE RATUNKOWE,BIELSKO-BIAŁA 43-300 UL. EMILII PLATER 14,33 815 90 45,"('49.820159', '19.0248275')",49.820159,19.0248275
72,WOJEWÓDZKIE POGOTOWIE RATUNKOWE W KATOWICACH,KATOWICE 40-024 UL. POWSTAŃCÓW 52,32 609 31 40,"('50.2516874', '19.0328129')",50.2516874,19.0328129
73,SP ZOZ STACJA POGOTOWIA RATUNKOWEGO,CZĘSTOCHOWA 42-202 UL. JANA KILIŃSKIEGO 10,34 378 52 33,"('50.81313105', '19.1142403899889')",50.81313105,19.1142403899889
74,SP ZOZ ZESPÓŁ OPIEKI ZDROWOTNEJ W LUBLIŃCU,LUBLINIEC 42-700 UL. SOBIESKIEGO 9,34 350 63 80,"('50.66526685', '18.6809904616172')",50.66526685,18.6809904616172
75,SP ZESPÓŁ OPIEKI ZDROWOTNEJ W MYSZKOWIE,MYSZKÓW 42-300 UL. ALEJA WOLNOŚCI 29,34 313 88 80,"('50.5726125', '19.3068908')",50.5726125,19.3068908
76,PP ZAKŁAD OPIEKI ZDROWOTNEJ W RYDUŁTOWACH I,WODZISŁAWIU ŚLĄSKIM Z SIEDZIBĄ W WODZISŁAWIU,Śląskim,"('50.01349', '18.329497')",50.01349,18.329497
77,ZESPÓŁ OPIEKI ZDROWOTNEJ W KŁOBUCKU,KŁOBUCK 42-100 UL. 11 LISTOPADA 5C,34 317 22 06,"('50.90664005', '18.9374659397547')",50.90664005,18.9374659397547
78,"SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR1 W LUBLINIE,","LUBLIN, 20-081,  UL. STASZICA 16",81 532 39 35,"('51.2506105', '22.5625164072842')",51.2506105,22.5625164072842
79,SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. JANA BOŻEGO W LUBLINIE,"LUBLIN,  20-089, UL. MIECZYSŁAWA BIERNACKIEGO 9",81 740 20 39,"('51.25574145', '22.567671186553')",51.25574145,22.567671186553
80,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ,"BIAŁA PODLASKA, 21-500 , UL. TEREBELSKA 57-65",83 414 72 11,"('52.0465', '23.11073')",52.0465,23.11073
81,SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W CHEŁMIE,"CHEŁM, 22-100,  UL. CERAMICZNA 1",,"('51.1501864', '23.4582021')",51.1501864,23.4582021
82,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM,"TOMASZÓW LUBELSKI, 22-600 , UL. ALEJE GRUNWALDZKIE 1",84 664 44 11,"('50.443058', '23.4159827')",50.443058,23.4159827
83,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH,"PUŁAWY, 24-100 , UL. JÓZEFA BEMA 1",81 45 02 274,"('51.420829', '21.9750042')",51.420829,21.9750042
84,ARION SZPITALE SP. Z O.O. W UPADŁOŚCI,"WARSZWA, 04-854,  UL. KAZIMIERZA KRÓLA 39",84 688 22 05,"('52.189987', '21.181744')",52.189987,21.181744
85,SAMODZIELNA PUBLICZNA STACJA POGOTOWIA RATUNKOWEGO I TRANSPORTU SANITARNEGO W ZAMOŚCIU,"ZAMOŚĆ, 22-400 , STAROWIEJSKA 23",84 638 40 65,"('50.7315779', '23.273673')",50.7315779,23.273673
86,WOJEWÓDZKIE POGOTOWIE RATUNKOWE SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE,"LUBLIN, 20-043, UL. SPADOCHRONIARZY 8",81 533 77 90,"('51.2482238', '22.5320237')",51.2482238,22.5320237
87,STACJA POGOTOWIA RATUNKOWEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIAŁEJ PODLASKIEJ,"BIAŁA PODLASKA, 21-500, WARSZAWSKA 20",83 343 40 68,"('52.03124105', '23.1096546085012')",52.03124105,23.1096546085012
88,STACJA RATOWNICTWA MEDYCZNEGO W CHEŁMIE SPZOZ,"CHEŁM, 22-100 , REJOWIECKA 128",82 565 52 34,"('51.1463962', '23.4373763')",51.1463962,23.4373763
89,WOJEWÓDZKI SZPITAL OBSERWACYJNO-ZAKAŹNY IM. T. BOROWICZA,BYDGOSZCZ/85-030/UL. ŚWIĘTEGO FLORIANA 12,52 325-56-07,"('53.1219914', '18.0090549116227')",53.1219914,18.0090549116227
90,KUJAWSKO-POMORSKIE CENTRUM PULMONOLOGII,BYDGOSZCZ/85-326/UL.SEMINARYJNA 1,"52 32 56 600, 52 32 56 719","('53.12123075', '17.9832199780575')",53.12123075,17.9832199780575
91,WOJEWÓDZKI SZPITAL ZESPLONY IM.L.RYDYGIERA,TORUŃ/87-100/UL. ŚW. JÓZEFA 53-59,56 679 55 47,a,a,a
92,NOWY SZPITAL SP. Z O.O.,ŚWIECIE/86-100/UL.WOJSKA POLSKIEGO 126,41 240 16 34,"('53.41385735', '18.466769290088')",53.41385735,18.466769290088
93,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO,BYDGOSZCZ/85-015/UL. KS. R. MARKWARTA 7,52 323 04 13,a,a,a
94,SZPITAL WOJEWÓDZKI W OPOLU SPÓŁKA Z O.O.,OPOLE/45-372/AUGUSTYNA KOŚNEGO 53,"77 443 31 00,","('50.6715023', '17.9360342710196')",50.6715023,17.9360342710196
95,ZESPÓŁ OPIEKI ZDROWOTNEJ W NYSIE,NYSA/48-300/BOHATERÓW WARSZAWY 34,77 408 78 30,"('50.47106205', '17.3283169276505')",50.47106205,17.3283169276505
96,SP ZAKŁAD OPIEKI ZDROWOTNEJ MSWIA W OPOLU,OPOLE/45-075/KRAKOWSKA 44,77 401 11 00,"('50.6633741', '17.9253812435547')",50.6633741,17.9253812435547
97,SP ZESPÓŁ OPIEKI ZDROWOTNEJ W KĘDZIERZYNIE-KOŹLU,KĘDZIERZYN-KOŹLE/47-200/ 24 KWIETNIA 5,77 406 25 00,"('50.33216785', '18.1497321430775')",50.33216785,18.1497321430775
98,BRZESKIE CENTRUM MEDYCZNE,BRZEG/49-301/SERGIUSZA MOSSORA 1,77 444 65 36,a,a,a
99,ZESPÓŁ OPIEKI ZDROWOTNEJ W OLEŚNIE,OLESNO/46-300/KLONOWA 1,34 350 97 00,"('50.8807623', '18.4134164')",50.8807623,18.4134164
100,SZPITAL POWIATOWY IM. PRAŁATA J. GLOWATZKIEGO W STRZELCACH OPOLSKICH,STRZELCE OPOLSKIE/47-100/OPOLSKA 36A,77 461 33 80,"('50.5152474', '18.2914353')",50.5152474,18.2914353
101,SP ZAKŁAD OPIEKI ZDROWOTNEJ ZESPÓŁ OPIEKI ZDROWOTNEJ,GŁUCHOŁAZY/48-340/MARII CURIE-SKŁODOWSKIEJ 16,77 439 15 68,"('50.3158809', '17.3855568421639')",50.3158809,17.3855568421639
102,SP ZOZ SZPITAL SPECJALISTYCZNY MSWIA W GŁUCHOŁAZACH IM. ŚW. JANA PAWŁA II,GŁUCHOŁAZY/48-340/M.KARŁOWICZA 40,77 439 16 14,a,a,a
103,SP ZESPÓŁ OPIEKI ZDROWOTNEJ W GŁUBCZYCACH,GŁUBCZYCE/48-100/SKŁODOWSKIEJ 26,77 480 11 70,"('50.2037163', '17.81209')",50.2037163,17.81209
104,POWIATOWE CENTRUM ZDROWIA S.A. W KLUCZBORKU,KLUCZBORK/46-200/SKŁODOWSKIEJ-CURIE 23,77 417 35 00,a,a,a
105,UNIWERSYTECKI SZPITAL KLINICZNY W OPOLU,OPOLE/ 45-401/ALEJA WINCENTEGO WITOSA 26,77 452 07 45,"('50.6766038', '17.9753298')",50.6766038,17.9753298
106,OPOLSKIE CENTRUM RATOWNICTWA MEDYCZNEGO,OPOLE/45-369 /ADAMA MICKIEWICZA 2-4,77 441 36 39,"('50.6664716', '17.9381356')",50.6664716,17.9381356
107,"KLINICZNE CENTRUM GINEKOLOGII, POŁOŻNICTWA I NEONATOLOGII W OPOLU",OPOLE/45-057/REYMONTA 8,77 454 54 01,"('50.66681125', '17.9284108619044')",50.66681125,17.9284108619044
108,ZESPÓŁ OPIEKI ZDROWOTNEJ W BIAŁEJ,BIAŁA/48-210/ MONIUSZKI 8,"77 438 70 33, 77 438 72 16","('50.3871156', '17.6619041506566')",50.3871156,17.6619041506566
109,OPOLSKIE CENTRUM REHABILITACJI SPÓŁKA Z O.O,KORFANTÓW/ 48-317/WYZWOLENIA 11,"77 43 44 000, 77 43 44 005","('50.4883847', '17.5929270386197')",50.4883847,17.5929270386197
110,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. ŚW. JADWIGI W OPOLU,OPOLE/ 45-221/WODOCIĄGOWA 4,77 54 14 200,"('50.6760187', '17.940564594867')",50.6760187,17.940564594867
111,KRAPKOWICKIE CENTRUM ZDROWIA,KRAPKOWICE/ 47-303/XXX-LECIA 21,"77 4467228, 77 4467229","('50.4030799', '17.8994008')",50.4030799,17.8994008
112,NAMYSŁOWSKIE CENTRUM ZDROWIA,NAMYSŁÓW/46-100/OLEŚNICKA 4,"77 404 02 48, 77 404 02 50","('51.08320585', '17.7088247097125')",51.08320585,17.7088247097125
113,SZPITAL UNIWERSYTECKI IMIENIA KAROLA MARCINKOWSKIEGO W ZIELONEJ GÓRZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZIELONA GÓRA/ 65-046/ UL. ZYTY 26,683296200,"('51.94147015', '15.5194597114492')",51.94147015,15.5194597114492
114,WIELOSPECJALISTYCZNY SZPITAL WOJEWÓDZKI W GORZOWIE WLKP. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GORZÓW WIELKOPOLSKI/ 66-400/ UL. JANA DEKERTA 1,957331222,"('52.7635523', '15.2377100726301')",52.7635523,15.2377100726301
115,DDZIAŁ NOWORODKOWY,AGAŃ/ 68-100/ UL. ŻELAZNA 1A,84771200,a,a,a
116,OWY SZPITAL W SZPROTAWIE SPÓŁKA Z OGRANICZONĄ DPOWIEDZIALNOŚCIĄ,ZPROTAWA/ 67-300/  UL. HENRYKOWSKA 1,12402302,a,a,a
